"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"575","LNCATV",12.0209354488904,2.57255346313799,0.767836946741429,3.35039030624337,0.000806977644393806,0.00339662129784048
"576","LINC03108",140.797158838766,1.41754244214768,0.498961209062053,2.84098726795291,0.00449741079040058,0.0151575316094324
"577","ARID4B",2017.14645889766,1.64728831380061,0.230273763544096,7.15360833317495,8.45260183467385e-13,1.67556576368881e-11
"578","LOC105373215",35.0418867334494,-2.01339951131974,0.616914977657203,-3.26365801486264,0.00109983834306296,0.00445291973302944
"579","NID1",1212.93925133781,1.55898588411433,0.416514406036914,3.74293388540363,0.000181884097206385,0.000905511361508532
"580","ERO1B",475.359779789584,2.66249589352654,0.364253116248474,7.30946634293261,2.68205421466836e-13,5.61352585681248e-12
"581","EDARADD",132.45752031863,6.00734457973004,0.966909377358598,6.21293444908032,5.20041477396412e-10,7.34327061507153e-09
"582","HEATR1",874.269969756461,-1.57739066020159,0.312287369460418,-5.05108696175276,4.39303001141288e-07,3.86827838898411e-06
"583","CHRM3",7.73317928602009,3.78669928251925,1.16962488159701,3.23753311176903,0.00120567947266557,0.00481991235378579
"584","FH",1612.56426028512,-1.47247246130529,0.295896290149942,-4.97631268225477,6.48069305338022e-07,5.49818798306529e-06
"585","EXO1",49.7043765193312,-1.55152519635022,0.63385382434721,-2.44776498421871,0.0143745382193535,0.0409820239728671
"586","MAP1LC3C",32.0073557885342,3.2075628181141,0.821885147837377,3.90268984243619,9.51295714869807e-05,0.000504279416912981
"587","ZBTB18",466.851925694152,1.0733833474175,0.267960499174311,4.00575215647458,6.18204444700221e-05,0.000342697037696686
"588","COX20",277.836398765452,-1.01847310414606,0.182606244983577,-5.57742756408826,2.4410137575614e-08,2.67963885324907e-07
"589","TFB2M",157.350917814695,-1.73010654650285,0.238305376773139,-7.26003991152019,3.86976123761898e-13,7.96992983763766e-12
"590","LINC01341",9.7249935828424,2.00031479673998,0.688110436872311,2.9069676748867,0.00364950908505657,0.0126749122805806
"591","NLRP3",506.138235082154,3.43999159831471,0.332993951047279,10.3304927536846,5.1296391562603e-25,2.85047549448685e-23
"592","ZNF692",205.155932151149,-1.14591054546492,0.281498334062122,-4.07075427029718,4.6861160603651e-05,0.000266801901962129
"593","SH3YL1",177.892822501752,-1.55586641764342,0.327131492947396,-4.75608876303944,1.9737971029565e-06,1.51948473019235e-05
"594","ADI1",441.727611582752,1.20904201293374,0.349978070100816,3.4546222070013,0.000551064410283264,0.00241717954944676
"595","LOC105373404",7.34234358745611,6.52123796542346,1.65319028797753,3.944638444133,7.99204703527828e-05,0.000430704125277991
"596","NRIR",43.5606703230252,7.64803534955282,1.38107143166712,5.53775508940962,3.06373275086666e-08,3.3190706459205e-07
"597","CMPK2",4531.04143118464,7.06984732931701,0.49505408610101,14.2809594503064,2.87614198578601e-46,5.59382482820418e-44
"598","RSAD2",30897.700330854,9.58001126545102,0.803034433374712,11.9297639893118,8.28079301677586e-33,7.8671349693019e-31
"599","MBOAT2",211.033839587263,2.70568341658544,0.626630353428262,4.31783012390444,1.57570628197789e-05,0.000100509779422204
"600","ITGB1BP1",2073.11427235768,-2.77599143444694,0.208411934917358,-13.3197335150106,1.77740789107045e-40,2.90817786367527e-38
"601","LOC100996549",65.6414169474259,-2.48859494110903,0.658144232326618,-3.7812303426432,0.000156055197842241,0.000790669441807726
"602","GRHL1",65.816050483364,1.6517577883482,0.330234108739567,5.00177826770411,5.68039013206077e-07,4.871336229724e-06
"603","RRM2",283.512625352294,-4.35573430453191,0.657122284158948,-6.62849884950534,3.3911776625414e-11,5.54861259452013e-10
"604","HPCAL1",4645.00530024294,-2.86068303202609,0.203892406986382,-14.0303558838125,1.01640240013404e-44,1.9223992551526e-42
"605","ODC1",1963.84114331949,-1.49309202288965,0.265880887908721,-5.61564253314153,1.95833148192684e-08,2.17761390676396e-07
"606","LINC01954",16.8949562494593,-5.28388452567438,1.02327516220837,-5.16369860309229,2.4211743433759e-07,2.23733439099227e-06
"607","KCNF1",75.4803080899733,-5.6889231918196,0.587344865224007,-9.68583115074975,3.46379549726107e-22,1.60471029149515e-20
"608","GREB1",84.3934174471063,-3.68668292847789,0.457738929144675,-8.0541170823438,8.00545610356025e-16,2.16304695977717e-14
"609","TRIB2",24.2864595937496,3.03651229002793,0.900309492130341,3.37274272521868,0.000744234572368029,0.00316549204537637
"610","CYRIA",2873.82854734813,2.96363110538193,0.406136066429209,7.29713844780761,2.9395228501819e-13,6.10436608125419e-12
"611","KCNS3",52.8248818661512,3.20867130350348,0.803655753793028,3.99259420262899,6.53543564027498e-05,0.00035957977357862
"612","WDR35",132.249258980617,-1.77164343497433,0.37343813342017,-4.74414173707586,2.09392204352247e-06,1.60179209088161e-05
"613","SDC1",546.983125337086,-2.25772962805872,0.760187675919281,-2.96996347030816,0.00297835163092217,0.010612114971153
"614","KLHL29",6.45825520858197,1.98419342654389,0.716031100459626,2.77109950289899,0.0055867351699963,0.018258740054636
"615","MFSD2B",2.5186357999799,3.44646774019207,1.45149915066287,2.37441939846685,0.0175765732347867,0.0484890450700337
"616","FKBP1B",76.699363671429,1.91196498345917,0.430334652163661,4.44297240263149,8.87245498019716e-06,5.97564625520238e-05
